Nome	ID Lattes	ID Scholar	Ano do Doutorado	Idade Acadêmica	Participações em Projetos (total)	Projetos Coordenados (total)	Projetos (total)	Orientações de Mestrado (total)	Orientações de Doutorado (total)	Orientações (total)	Bancas de Mestrado (total)	Bancas de Doutorado (total)	Bancas (total)	Publicações em Congressos (total)	Publicações em Periódicos (total)	Publicações Indexadas JCR (total)	Publicações (total)	Participações em Projetos	Projetos Coordenados	Projetos	Orientações de Mestrado	Orientações de Doutorado	Orientações	Bancas de Mestrado	Bancas de Doutorado	Bancas	Publicações em Congressos	Publicações em Periódicos	Publicações Indexadas JCR	Publicações	Citações (total)	H-Index (total)	Citações	Participações em Projetos (anual)	Projetos Coordenados (anual)	Projetos (anual)	Orientações de Mestrado (anual)	Orientações de Doutorado (anual)	Orientações (anual)	Bancas de Mestrado (anual)	Bancas de Doutorado (anual)	Bancas (anual)	Publicações em Congressos (anual)	Publicações em Periódicos (anual)	Publicações Indexadas JCR (anual)	Publicações (anual)	Citações (anual)	H-Index (anual)
Igor Monteiro Moraes	1342924024681635	zFaRYScAAAAJ	2009,0	9,0	23,0	7,0	30,0	9,0	4,0	13,0	22,0	7,0	29,0	50,0	17,0	13,0	67,0	0,0	2,0	2,0	2,0	3,0	5,0	1,0	3,0	4,0	8,0	3,0	2,0	11,0	1139,0	13,0	229,0	2,5555555555555554	0,7777777777777778	3,3333333333333335	1,0	0,4444444444444444	1,4444444444444444	2,4444444444444446	0,7777777777777778	3,2222222222222223	5,555555555555555	1,8888888888888888	1,4444444444444444	7,444444444444445	126,55555555555556	1,4444444444444444
Jose Ricardo de Almeida Torreao	4234623363518888		1989,0	29,0	0,0	0,0	0,0	11,0	4,0	15,0	22,0	15,0	37,0	38,0	27,0	14,0	65,0	0,0	0,0	0,0	0,0	1,0	1,0	1,0	0,0	1,0	2,0	2,0	2,0	4,0				0,0	0,0	0,0	0,3793103448275862	0,13793103448275862	0,5172413793103449	0,7586206896551724	0,5172413793103449	1,2758620689655173	1,3103448275862069	0,9310344827586207	0,4827586206896552	2,2413793103448274		
José Viterbo Filho	8721187139726277	twAYAPsAAAAJ	2009,0	9,0	6,0	0,0	6,0	10,0	0,0	10,0	46,0	10,0	56,0	61,0	9,0	4,0	70,0	0,0	0,0	0,0	6,0	0,0	6,0	16,0	5,0	21,0	26,0	1,0	1,0	27,0	356,0	10,0	142,0	0,6666666666666666	0,0	0,6666666666666666	1,1111111111111112	0,0	1,1111111111111112	5,111111111111111	1,1111111111111112	6,222222222222222	6,777777777777778	1,0	0,4444444444444444	7,777777777777778	39,55555555555556	1,1111111111111112
Julio Cesar Stacchini de Souza	8691314378381640	qYDmVFQAAAAJ	1996,0	22,0	3,0	13,0	16,0	24,0	9,0	33,0	68,0	26,0	94,0	128,0	37,0	22,0	165,0	0,0	2,0	2,0	0,0	2,0	2,0	10,0	2,0	12,0	8,0	3,0	3,0	11,0	1342,0	19,0	312,0	0,13636363636363635	0,5909090909090909	0,7272727272727273	1,0909090909090908	0,4090909090909091	1,5	3,090909090909091	1,1818181818181819	4,2727272727272725	5,818181818181818	1,6818181818181819	1,0	7,5	61,0	0,8636363636363636
Leandro Augusto Frata Fernandes	4616848792501359	4OcyYJ4AAAAJ	2010,0	8,0	6,0	10,0	16,0	8,0	2,0	10,0	16,0	12,0	28,0	17,0	12,0	9,0	29,0	0,0	1,0	1,0	3,0	1,0	4,0	4,0	4,0	8,0	3,0	1,0	1,0	4,0	838,0	12,0	230,0	0,75	1,25	2,0	1,0	0,25	1,25	2,0	1,5	3,5	2,125	1,5	1,125	3,625	104,75	1,5
Leonardo Gresta Paulino Murta	1565296529736448	VEbJeB8AAAAJ	2006,0	12,0	14,0	7,0	21,0	19,0	8,0	27,0	35,0	16,0	51,0	131,0	32,0	14,0	163,0	1,0	0,0	1,0	1,0	5,0	6,0	4,0	4,0	8,0	10,0	6,0	4,0	16,0	1616,0	21,0	324,0	1,1666666666666667	0,5833333333333334	1,75	1,5833333333333333	0,6666666666666666	2,25	2,9166666666666665	1,3333333333333333	4,25	10,916666666666666	2,6666666666666665	1,1666666666666667	13,583333333333334	134,66666666666666	1,75
Loana Tito Nogueira	2537709612833688	AQsF0MYAAAAJ	2003,0	15,0	1,0	7,0	8,0	11,0	2,0	13,0	12,0	5,0	17,0	17,0	14,0	10,0	31,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	1,0	1,0	3,0	294,0	9,0	41,0	0,06666666666666667	0,4666666666666667	0,5333333333333333	0,7333333333333333	0,13333333333333333	0,8666666666666667	0,8	0,3333333333333333	1,1333333333333333	1,1333333333333333	0,9333333333333333	0,6666666666666666	2,066666666666667	19,6	0,6
Lúcia Maria de Assumpção Drummond	9314029648579658	UhYdnvYAAAAJ	1994,0	24,0	9,0	4,0	13,0	24,0	7,0	31,0	22,0	18,0	40,0	71,0	23,0	20,0	94,0	0,0	0,0	0,0	4,0	1,0	5,0	3,0	1,0	4,0	9,0	6,0	5,0	15,0	1066,0	16,0	220,0	0,375	0,16666666666666666	0,5416666666666666	1,0	0,2916666666666667	1,2916666666666667	0,9166666666666666	0,75	1,6666666666666667	2,9583333333333335	0,9583333333333334	0,8333333333333334	3,9166666666666665	44,416666666666664	0,6666666666666666
Luciana Cardoso de Castro Salgado	9126192988265844	exVgvFgAAAAJ	2011,0	7,0	4,0	3,0	7,0	3,0	0,0	3,0	2,0	1,0	3,0	19,0	3,0	1,0	22,0	0,0	3,0	3,0	2,0	0,0	2,0	1,0	1,0	2,0	8,0	1,0	1,0	9,0	147,0	7,0	71,0	0,5714285714285714	0,42857142857142855	1,0	0,42857142857142855	0,0	0,42857142857142855	0,2857142857142857	0,14285714285714285	0,42857142857142855	2,7142857142857144	0,42857142857142855	0,14285714285714285	3,142857142857143	21,0	1,0
Luis Antonio Brasil Kowada	6067936254653853	8DN4mmEAAAAJ	2006,0	12,0	8,0	4,0	12,0	4,0	2,0	6,0	5,0	3,0	8,0	18,0	14,0	7,0	32,0	1,0	1,0	2,0	1,0	1,0	2,0	1,0	1,0	2,0	4,0	2,0	1,0	6,0	64,0	4,0	21,0	0,6666666666666666	0,3333333333333333	1,0	0,3333333333333333	0,16666666666666666	0,5	0,4166666666666667	0,25	0,6666666666666666	1,5	1,1666666666666667	0,5833333333333334	2,6666666666666665	5,333333333333333	0,3333333333333333
Luis Martí Orosa	5462583890910082	rT0Cow8AAAAJ	2011,0	7,0	14,0	3,0	17,0	1,0	1,0	2,0	2,0	0,0	2,0	28,0	11,0	9,0	39,0	3,0	1,0	4,0	1,0	1,0	2,0	2,0	0,0	2,0	4,0	6,0	5,0	10,0	426,0	11,0	137,0	2,0	0,42857142857142855	2,4285714285714284	0,14285714285714285	0,14285714285714285	0,2857142857142857	0,2857142857142857	0,0	0,2857142857142857	4,0	1,5714285714285714	1,2857142857142858	5,571428571428571	60,857142857142854	1,5714285714285714
Luiz André Portes Paes Leme	4109516731400241	QPaL2bEAAAAJ	2009,0	9,0	5,0	2,0	7,0	1,0	0,0	1,0	7,0	7,0	14,0	25,0	9,0	2,0	34,0	0,0	1,0	1,0	1,0	0,0	1,0	0,0	3,0	3,0	8,0	2,0	0,0	10,0	241,0	10,0	89,0	0,5555555555555556	0,2222222222222222	0,7777777777777778	0,1111111111111111	0,0	0,1111111111111111	0,7777777777777778	0,7777777777777778	1,5555555555555556	2,7777777777777777	1,0	0,2222222222222222	3,7777777777777777	26,77777777777778	1,1111111111111112
Luiz Satoru Ochi	9171815778534257	w3KB2MoAAAAJ	1989,0	29,0	2,0	16,0	18,0	51,0	22,0	73,0	156,0	110,0	266,0	208,0	77,0	32,0	285,0	0,0	0,0	0,0	1,0	4,0	5,0	1,0	12,0	13,0	14,0	12,0	9,0	26,0	2471,0	25,0	704,0	0,06896551724137931	0,5517241379310345	0,6206896551724138	1,7586206896551724	0,7586206896551724	2,5172413793103448	5,379310344827586	3,793103448275862	9,172413793103448	7,172413793103448	2,6551724137931036	1,103448275862069	9,827586206896552	85,20689655172414	0,8620689655172413
Marcos de Oliveira Lage Ferreira	1679486689581930	ltxcRtwAAAAJ	2009,0	9,0	6,0	3,0	9,0	7,0	0,0	7,0	17,0	4,0	21,0	15,0	10,0	9,0	25,0	1,0	0,0	1,0	2,0	0,0	2,0	6,0	3,0	9,0	1,0	3,0	3,0	4,0	163,0	7,0	51,0	0,6666666666666666	0,3333333333333333	1,0	0,7777777777777778	0,0	0,7777777777777778	1,8888888888888888	0,4444444444444444	2,3333333333333335	1,6666666666666667	1,1111111111111112	1,0	2,7777777777777777	18,11111111111111	0,7777777777777778
Milton Brown Do Coutto Filho	1162538732000822	C7WY29gAAAAJ	1983,0	35,0	3,0	0,0	3,0	32,0	8,0	40,0	1,0	1,0	2,0	153,0	37,0	22,0	190,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	8,0	1,0	1,0	9,0	1280,0	19,0	232,0	0,08571428571428572	0,0	0,08571428571428572	0,9142857142857143	0,22857142857142856	1,1428571428571428	0,02857142857142857	0,02857142857142857	0,05714285714285714	4,371428571428571	1,0571428571428572	0,6285714285714286	5,428571428571429	36,57142857142857	0,5428571428571428
Orlando Gomes Loques Filho	9433123288261141	KlPc9LgAAAAJ	1984,0	34,0	0,0	13,0	13,0	44,0	8,0	52,0	9,0	8,0	17,0	114,0	21,0	7,0	135,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	1,0	0,0	0,0	1,0	1107,0	20,0	138,0	0,0	0,38235294117647056	0,38235294117647056	1,2941176470588236	0,23529411764705882	1,5294117647058822	0,2647058823529412	0,23529411764705882	0,5	3,3529411764705883	0,6176470588235294	0,20588235294117646	3,9705882352941178	32,55882352941177	0,5882352941176471
Simone de Lima Martins	5202429302236084	oEIT_KQAAAAJ	1999,0	19,0	4,0	5,0	9,0	9,0	4,0	13,0	48,0	35,0	83,0	44,0	17,0	9,0	61,0	1,0	1,0	2,0	0,0	2,0	2,0	1,0	7,0	8,0	4,0	0,0	0,0	4,0	1035,0	18,0	168,0	0,21052631578947367	0,2631578947368421	0,47368421052631576	0,47368421052631576	0,21052631578947367	0,6842105263157895	2,526315789473684	1,8421052631578947	4,368421052631579	2,3157894736842106	0,8947368421052632	0,47368421052631576	3,210526315789474	54,473684210526315	0,9473684210526315
Uéverton dos Santos Souza	1131927171712708	9nD5N4AAAAAJ	2014,0	4,0	2,0	4,0	6,0	2,0	1,0	3,0	1,0	2,0	3,0	28,0	19,0	11,0	47,0	0,0	3,0	3,0	1,0	1,0	2,0	1,0	2,0	3,0	11,0	10,0	7,0	21,0	86,0	5,0	77,0	0,5	1,0	1,5	0,5	0,25	0,75	0,25	0,5	0,75	7,0	4,75	2,75	11,75	21,5	1,25
Vanessa Braganholo Murta	0060120644445370	QT9-AZ4AAAAJ	2004,0	14,0	8,0	6,0	14,0	24,0	3,0	27,0	26,0	4,0	30,0	74,0	26,0	10,0	100,0	1,0	0,0	1,0	3,0	2,0	5,0	2,0	2,0	4,0	10,0	5,0	2,0	15,0	1173,0	18,0	216,0	0,5714285714285714	0,42857142857142855	1,0	1,7142857142857142	0,21428571428571427	1,9285714285714286	1,8571428571428572	0,2857142857142857	2,142857142857143	5,285714285714286	1,8571428571428572	0,7142857142857143	7,142857142857143	83,78571428571429	1,2857142857142858
Viviane Torres da Silva	7802814360038820	9fnrfZsAAAAJ	2004,0	14,0	13,0	9,0	22,0	10,0	2,0	12,0	15,0	7,0	22,0	76,0	16,0	8,0	92,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	1,0	1,0	6,0	1180,0	18,0	159,0	0,9285714285714286	0,6428571428571429	1,5714285714285714	0,7142857142857143	0,14285714285714285	0,8571428571428571	1,0714285714285714	0,5	1,5714285714285714	5,428571428571429	1,1428571428571428	0,5714285714285714	6,571428571428571	84,28571428571429	1,2857142857142858
Yuri Abitbol de Menezes Frota	9628405562792982	fTsmjYkAAAAJ	2008,0	10,0	1,0	0,0	1,0	5,0	1,0	6,0	0,0	0,0	0,0	18,0	13,0	11,0	31,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	4,0	4,0	2,0	8,0	256,0	9,0	114,0	0,1	0,0	0,1	0,5	0,1	0,6	0,0	0,0	0,0	1,8	1,3	1,1	3,1	25,6	0,9
